"DrugBankIDs" "Target.uniprot"
"DB00157" "O60701; P07327; Q00796; P08319; P00326; P00325; P40394; P21695; Q6ZMR3; P11766; P15121; Q99714; P40926; P00338; P23368; P51659; Q9BYZ2; P07864; P07195; Q08426; Q16836; Q16798; Q02338; P40925; P31937; P37058; P04035; P48163; O43175; P56937; P51553; O43837; P50213; P14061; P37059; Q92781; O95479; Q92506; P17516; P12268; P42330; P15428; Q13630; Q04828; P28845; P26439; P14060; P20839; P40939; P05091; P80365; P52895; Q15738; P48448; Q02252; P30838; P00352; O14556; P49189; P47895; P30837; P43353; P04406; O94788; P51648; P51649; P49419; P30043; Q96C36; P32322; P00367; P11177; P29803; P08559; P53004; P16219; P00374; Q02218; P49448; Q9UBM7; P16083; P03891; Q9UDR5; P03897; O75251; P11586; P13995; P30038; P00387; Q86Y39; P03905; P09417; P03886; Q13423; Q16718; Q16795; P03901; O95299; O95182; O15239; P03923; P03915; O00483; P56556; O14561; O43678; P51970; O95167; O95169; O95298; O75438; P28331; O96000; O95168; O43676; O95178; P17568; Q9Y6M9; O75306; O43674; O43677; O95139; P56181; P09622; O75489; P00390; Q9UI09; O43920; O43181; P49821; P19404; Q9P0J0; Q16878; O75380; Q9NRX3; O00217; Q02928; P10515; P48728; Q15800; P09601; P30519; P05093; P14679; P47989; Q06278; P28332; P14550"
"DB00158" "P41439; P14207; P42898; O15439; Q4U2R8; O15438; Q96J66; Q9UNQ0; Q96NT5; Q9H2D1; Q92820; P15328; P00374"
"DB00159" "P35354; P23219; O14842; O15540; O60427; O60488; O95573; P32418; P37231; Q03181; Q8NER1; Q07869; P02768"
"DB00162" "Q96NR8; P09455; Q92781; Q8NBN7; P10745; P82980; Q96R05; P02753; P50120; O94788; P00352; P12271; O95237; O75911; P47895; Q6NUM9; Q8TC12; Q9BTZ2; Q9HBH5; Q9NYR8; P04798; O43174; P05090; O60760; P02768"
"DB00165" "O00764; P04798"
"DB00166" "Q9Y234; Q9Y289; O43766; P16435"
"DB00169" "P02774; P05108; Q6VVX0; Q02318; P51589; P08684; P11473; P04798; P20813; P10632; P10635"
"DB00170" "P22891; P00734; Q9BQB6; P00740; P08709; P00742; P38435; P04070; P07225; P15559; P16083; Q8N0U8; P47989; Q06278; P42898; P05181; P04798; P02818; P05177; P11509"
"DB00175" "P04035; O94956; P08183; P46721; Q4U2R8; Q8TCC7; Q92887; Q9NSA0; Q9UNQ0; Q9Y694; Q9Y6L6; P53985; O95342; Q9NPD5"
"DB00176" "P31645; P05177; P10635; P11712; P33261; P04798; P08684; P20815; P24462; P08183; P20813; P05181; Q12809; P10632; O95342"
"DB00177" "P30556; P11712; Q9NPD5; Q9Y6L6; Q92887"
"DB00178" "P12821; P46059; Q16348; P06276; P46663"
"DB00179" "P09917; P51589; P04278"
"DB00180" "P08185; P04150; P08684"
"DB00181" "Q9UBS5; O75899"
"DB00182" "Q01959; Q16568; Q96RJ0; P10635; O75751; O76082; Q05940; P11509; P23975; P35348; P35368; P25100; P08913; P18089; P18825; P08588; P07550; P13945; P14416; P27338; P31645; P21397; P27338; Q99870"
"DB00183" "P32239; P06276"
"DB00184" "Q15822; P17787; P36544; P43681; Q9GZZ6; Q9UGM1; P11509; P05181; Q16696; P20813; P30926; P32297; P30532; Q15825; Q05901; O15244; O15245; O75751; O76082; Q9H015; P04798; P05177; P33261; P10632; P11712; P10635; P08684; P21397; P27338; P11511; P28329"
"DB00185" "P11229; P20309; P08684; P10635; Q01740"
"DB00186" "P30536; P54855; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P08684"
"DB00187" "P08588; P10635"
"DB00188" "P08684; P33261; P05177; P10635; P11712; P28074; P20618"
"DB00190" "P20711"
"DB00191" "P23975; Q01959; P21397; P27338; P31645; P01303; P08684"
"DB00192" "Q14524"
"DB00193" "P35372; P23975; P28335; P41145; P31645; P10635; P41143; P08684; P20813; Q8TCU5; Q693P7; P20309; P11229; P22309; P08183"
"DB00194" "; P03198; P09250; Q9QNF7; P00813"
"DB00195" "P08588; P07550; P05177; P10635"
"DB00196" "P08684; P11712; P33261; P08183; P10613"
"DB00199" "; P08684; P24462; P08183; Q9Y6L6; O43193; Q12809; P20815; Q9NPD5; O95342; Q92887; P46721"
"DB00200" "Q8IVH4; Q9BXJ7; P20061; P22033; Q9UBK8; Q96EY8; Q99707; O60494; Q9Y4U1; P20062"
"DB00201" "P30542; Q07343; P29274; P05177; P21817; P08684; P20815; P24462; P08183; P05181; P10632; P11712; P04798; Q16678; P10635; P54750; Q01064; Q14123; Q9Y233; P27815; Q07343; Q08493; Q08499; Q9NP56; O00408; Q14432; Q13370; O76074; P51160; Q9HCR9; Q13946; O60658; O95263; O76083; P16499; P35913; P78527; O00329; P42336; P42338; Q14643; Q14571; Q14573; Q13315"
"DB00202" "P11229; P06276; P08172; P20309; Q693P7; Q9GZZ6"
"DB00203" "O76074; P11712; P18545; Q13956; P08684; P20815; P24462; O15439; O15440; Q5T3U5; P33261; P10635; P04798; P05181; Q9Y6L6; P08183"
"DB00204" "O95069; Q12809; Q14500; P08684; O15244"
"DB00205" "P13922; P00374; P10632; P07686; Q96FL8; Q86VL8"
"DB00206" "Q05940; P08183; O15245; O95342; Q92887; O15244; P20815; P54219; O15392; Q9Y6L6; O94956"
"DB00207" "; P08183; P08684; Q9UM07; Q92887"
"DB00208" "Q9H244; P08684; P33261; P20813; P11712; P10635; P05164; P04798; P05177; P10632; P05181"
"DB00210" "P10276; P28702; P13631; P10826; P48443; P19793; P35354"
"DB00211" "P35348; P35368; P10635; P46059; P25100"
"DB00213" "P20648; P33261; P08684; P08183; Q9UNQ0; Q8TCC7; O94760"
"DB00214" "Q13621; P10632; P11712; Q9Y6L6; P55011; P02768"
"DB00215" "P31645; P33261; P10635; P08684; P08183; P05177; P35367"
"DB00216" "P28221; P34969; P08908; P28566; P41595; P30939; P28222; P08684; P10635; P11712; P33261; P23219; P11509; P08183"
"DB00217" "P08913; P18089; P18825; P48048; P08588; P07550; P13945"
"DB00218" "P43700; P43702; P11388; P05177"
"DB00220" "O90777; P33261; P08684; P20813; P20815; P24462; P08183; O15245; P46721; Q9UNQ0; Q9Y6L6; P10635; P02768; P22309; Q9NPD5; O94956; O95342; P11712"
"DB00221" "P08588; P07550"
"DB00222" "P48048; Q14654; P11712; Q09428; O95342"
"DB00223" "P04150"
"DB00224" "Q72874; P08684; P20815; P24462; P08183; O15245; P33527; P46721; Q9Y6L6; Q92887; P10635; P22309; O94956; O95342"
"DB00226" "P23975"
"DB00227" "P04035; P08684; P10632; P20701; Q92769; Q15166; P11712; P20815; P24462; P08183; P46721; Q9Y6L6; P10635; P22309; P35503; P16662; Q92887; O95342; P02768"
"DB00228" "P98194; P23415; P48167; P42261; Q09470; P30049; O15554; P05181; P02768; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00229" "Q8XJ01; Q4U2R8; Q8TCC7"
"DB00230" "P43005; P54289; Q01650"
"DB00231" "P30536; P33261; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P08684; P20813; P10632; P11712; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00232" "Q13621; P22748; P00918; P00915"
"DB00233" "P9WNC7; Q9NZK7; P35354; P09917; O15111; P05164"
"DB00234" "P23975; P08684; P10635; P08183"
"DB00235" "Q14432"
"DB00238" "P08684; P20813; P20815; P11712; P11509; P10635; Q72547; P02768; P05177; O15245"
"DB00242" "P00491; ; P27707; P23921; P31350; Q7LG56; P09884; Q07864; P56282; Q9NRF9; Q9NR33; Q9UNQ0; Q9HAS3"
"DB00243" "P08684; P10635; O95342; P08183; P02768; ; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; P35348; P35368; P25100; P08588; P02763"
"DB00244" "P23219; P35354; P37231; O15111; O14920; P09917; P05164; P9WJI5; P18440"
"DB00245" "P11229; Q01959; P35367; P33261; P10635; P02768; P31645; P23975"
"DB00246" "P35348; P14416; P28335; P35462; P08908; P28221; P35367; P28223; P21917; P34969; P08684; P08913; P35368; P18089; P18825; P21728; P21918; P11229; P08172; P20309; P08173; P08912; P28222; P28566; P46098; P50406; Q06278"
"DB00247" "P28223; P08908; P34969; P28335; P41595; P28222; P30939; P28566; P08684"
"DB00248" "P14416; P41595; P35462; P28223; P18089; P28221; P21917; P08913; P08908; P18825; P21918; P21728; P28222; P28335; P08684; P34969; P35348; P35368; P25100; P08588; P07550; P21728; P21918; ; P08183"
"DB00249" "Q9QNF7;"
"DB00250" "P0C0X2; P0C0X1; P11712; P05181; P08684; P31513; P23219; P35354; P10632; P33261; P11245; P20815; P24462; P05164; P33260"
"DB00252" "Q14524; P35498; P10632; P33261; P11712; P20813; P20815; P02768; P08684; Q9NYB5; P08183; Q92887; P15538; P33260; P24462; O75469; Q07699; Q9NY46; P22309; P19224; O60656; P10635; P05543"
"DB00254" "; Q4U2R8; P08684; Q2M3G0"
"DB00255" "P03372; P62508; P02766; P21964; P11511; Q9UNQ0; P08183; Q92731; P08684; P10632; P11712; P05181; P11474; O95718; Q15596; O75469; P10275; P04278; Q9Y6L6; O94956; O95342"
"DB00256" "P0A7V8; P0A7X3"
"DB00257" "O15554; P10635; P10632; P08684; P20813; P08183; P11509; P11712; P05181; P24462; P10613; O75469; Q8TDS4; O95342; Q9Y6L6; Q9NPD5;"
"DB00260" "P0A6J8; Q9L888; P20711; Q495M3"
"DB00261" "Q14432; P05177"
"DB00262" "P00390; ; P05177"
"DB00263" "P0AC13; P11712"
"DB00264" "P08588; P10635; P07550; O15244; P08183; P02768; P08684"
"DB00266" "Q9BQB6; P15559; Q08257; P11712; P02768; P05178; P08683"
"DB00267" "Q8XJ01; P0AD68"
"DB00268" "P14416; P35462; P21917; P05177; P35348; P35368; P25100; P08913; P18089; P18825"
"DB00270" "P54289; Q13936; P08684; O95180; Q9NY47; Q08289; Q01668; Q13698; O95342"
"DB00273" "P14867; P35498; P00918; P22748; P39086; P33261; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P00915; P07451; P42261"
"DB00274" "C1KC03; P02768; P46059; Q16348; P02918; P02919; P0AD68; P0AEB2; P08506"
"DB00275" "P30556; Q92887; Q9NPD5; Q9Y6L6; O95342; P02768"
"DB00276" "P11388; ; Q12809; P08183; P02763; P02768"
"DB00277" "Q14432; Q07343; P29275; P27815; O76074; P30542; P29274; P05177; P00813; P05181; P08684; Q9Y694; P04798; Q16678; P10632; P10635; Q92769; Q99829; Q8TCT9; Q15155; P09874; Q7Z5B4; Q9Y4R7"
"DB00278" "P00734; P08684; P20815"
"DB00279" "P10828; P10827; P05543; P02766; P02768; P08183; Q8TCC7; Q8TF71; Q96BD0; Q9NYB5; P46721; Q14973; Q6ZQN7; Q9NPD5; Q9Y6L6; Q01650; P12004; P22309"
"DB00280" "Q14524; P02763; P08684; P11229; P08172; P20309; Q9NZV8; Q9UK17; O15244; O15245; Q12809; P19652; P05177"
"DB00281" "Q14524; Q9Y5Y9; P00533; Q15858; P05177; P10635; P08684; P20815; P24462; O76082; P08183; P11509; P20813; P33260; P10632; P11712; P35499; P02763; P19652"
"DB00282" "P14324;"
"DB00283" "P35367; P10635"
"DB00284" "O43451; P10253; P14410; P04746"
"DB00285" "P31645; P23975; P10635; P08684; Q01959; P08183; Q9UNQ0"
"DB00287" "P43088"
"DB00288" "P04150; P04083; P08684"
"DB00289" "P23975; P10635; P31645; P33261; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P02768; P02763; P19652; P12314; P48549; P41145"
"DB00290" "P49916; P18858; ; Q13867"
"DB00291" "; P09211; P46721"
"DB00292" "P14867; P18089; P11166; P15538; P19099; P11511; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00293" "P04818; Q05932"
"DB00294" "P03372; P06401; P08684; P02768; P04278"
"DB00295" "P35372; P41143; P41145; P10635; P08183; P10632; P08684; P16662; P22309; Q9HAW9; P54855; P06133; P35503; Q9Y6Y9; P02768"
"DB00296" "Q9Y5Y9; P05177; P20813; P08684"
"DB00297" "Q9Y5Y9; P34995; P08684; P33261; P10635"
"DB00299" "P04293; P06478"
"DB00300" "Q72547; Q4U2R8; Q8TCC7; Q5T3U5; O15439; Q92887; P54819; P27144; P08183; ; P24024"
"DB00301" "Q8XJ01; P08684; O95342"
"DB00302" "P00747; Q16348"
"DB00303" "P44469; P45059; P02918; P08506; P24228; P02919; P0AD68; P0AD65"
"DB00304" "P06401; P03372; P08684; P02768; P04278; P11712; P22309"
"DB00305" "; P16435"
