"DrugBankIDs" "Target.uniprot"
"DB00408" "P21728; P14416; P28223; P28335; P08908; P28222; P28221; P28566; P46098; P47898; P50406; P34969; P35348; P35368; P08913; P18089; P18825; P08588; P11229; P08172; P20309; P08173; P08912; P21728; P21918; P35462; P21917; P21918; P35367; P25021; Q9H3N8; P31645; P23975; Q01959"
"DB00409" "P14416; P21917; P28223; Q99720; P35462; P10635"
"DB00411" "P11229; P08172; Q15822; P47712; P22303; P20309; P08173"
"DB00412" "P37231; P10632; P11712; O60488; Q9Y6L6; P23219; P05177; P11509; P10635; P02768; Q07869; Q03181; P19793; P28702; P48443; P08684; O95342"
"DB00413" "P35462; P21917; P14416; P08908; P08913; O15244; O15245; O75751"
"DB00415" "P02768; O76082; P46059; Q16348; Q8DNB6; Q7CRA4; Q75Y35; Q8DR59; P0A3M6; P53985; Q02763"
"DB00416" "Q15822"
"DB00418" "P14867; P10632; P11712; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P05177; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P33261"
"DB00419" "Q16739"
"DB00420" "P14416; P08173; P08172; P20309; P35368; P21728; P08912; P28223; P28335; P35348; P11229; P21917; P35367; P25100; P33261; P05177; P08684; P11712; P10635"
"DB00421" "P08235; P10632; Q92887; P08183; P46721; P15538; P10275; P06401; P04150; P19099; ; P18405; P31213; Q9H8P0; P04278; Q06432; P54289; Q9NY47; Q8IZS8; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; Q00975; O00555; O43497; O95180; Q9P0X4; O75469; O95342; P02768; P02763; P19652"
"DB00422" "Q01959; P23975; Q6LAP9; P08908"
"DB00423" "P00915"
"DB00425" "P14867; P08684; P05177; P47869; P34903; P11712; P33261; P10635; P18507"
"DB00426" "P04293; P09252; Q06278; P08684"
"DB00427" "P35367"
"DB00428" "; P08183; P11168; Q89ZI2; P04798; P05177; P05181; O60502"
"DB00429" "P34995"
"DB00431" "P18505; P23415; P23416; O75311; P48167; P28472; P24046; P06401; P03372; O75469"
"DB00433" "P14416; P10635; P08684; P35367; P35348; P35368; P25100; P08913; P18089; P18825"
"DB00434" "P28223; P35367; P11229; P08172; P20309; P28335; P35503; P34969"
"DB00435" "P33402; P05091; P05177; P20813; P08684; P04731; P14902"
"DB00436" "P55017; P00915; P00918; P22748; Q12791; P51580"
"DB00437" "P47989; Q8TCC7; Q9Y694; Q06278; Q9UNQ0; O15244"
"DB00438" "O76082; P46059; Q16348; Q4U2R8; P0AD68; Q75Y35; P02918; Q8DR59; P02919; Q9X6W0; Q9X6V3; P0AD65; P72161"
"DB00439" "P04035; P10632; P08684; P10635; P11712; P20815; P24462; P08183; Q92887; Q9UNQ0; Q9Y6L6; P20813; P22309; O95342"
"DB00440" "P04818; P00374; P10632; P08684; P08183; P11712; O15244"
"DB00441" "P23921; P30085; P04818; P32320; P27707; P08183; Q5T3U5; Q99808; ; O00337; Q14542; Q9HAS3"
"DB00443" "P04150; P08684; P08183; P11511"
"DB00444" "P11388; P33261; P11712; P08684; O95255; Q9UNQ0; P20815"
"DB00445" "O14646; P11388; ; P33527; P16662; P47712"
"DB00446" "P08174; P24093; P33261; P08684; P20815; P24462; Q4U2R8; P0ADY7; P00484; P26841; Q56148; P10632"
"DB00447" "Q8XJ01; P46059; Q16348; Q75Y35"
"DB00448" "P20648; P33261; P11712; P08684; P08183; Q9UNQ0; P04798; Q16678; P33260; P10632; P10635; P10636; Q8TCC7; O15245; O15244; O75751"
"DB00449" "P08913; P06276; P07550; P35348; P22303"
"DB00450" "P14416; P35348"
"DB00451" "P10827; P10828; P10632; P02766; P02768; P05543; P08183; P36021; Q9NYB5; P46721; Q9Y6L6; Q9NPD5; Q96BD0; Q6ZQN7; Q01650; P22309; O94956"
"DB00454" "P41145; P10635; P20813; Q05586; Q13224; Q12879; Q14957; O15399; P33261; P08684; P02768; P02763; P11229; P08172; P20309; P08173; P08912; P35372; Q01959; P23975; P31645; P23141; P05177"
"DB00455" "P35367; P08684; P33261; P10635; P10632; P08183; Q12809; O95342; P04798; P05177; P20813; P11712; P20815"
"DB00456" "Q8XJ01; P15555; P00811; O76082; P46059; Q16348; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; Q8DR59; Q7CRA4; Q75Y35; Q8DNB6; P0A3M6; P02768"
"DB00457" "P35348; P35368; P25100; Q12809; P02763; O15245; O75751; P08183; Q9UNQ0; P08913; P18089; P35348; P35368; P25100"
"DB00458" "P23975; P31645; P05177; P33261; P10635; P35367; P35348; P28223; P11229; P08172; P20309; P08173; P08912; Q9NZV8; Q9UK17; P25100; P02763; O15244; O75751; P08183; Q9H015; P08684; P20813; P33260; P05181; P24462; P28335; P35368; P34969; P21728; P21918; P14416; Q12809; Q01959; P08908; P50406; O95259; P02768; P19652"
"DB00459" "P10276; P28702; P13631; P10826; P48443; P19793; P02768; P09455; O43174"
"DB00461" "P23219; P35354; P05164; P05177; P11712; P28845; Q04828; P42330; P17516; P02768"
"DB00465" "P23219; P35354; P16662; P10632; P11712"
"DB00467" "P43700; P43702; P11388; P05177"
"DB00468" "P14770; O15554; P08684; P20815; P04798; P10635; P05177; P10632; P11712; P33261; P05181; P24462; O15244; O15245; O76082; P08183; P46721; Q9H015; ; Q9Y6L6"
"DB00469" "P23219; P35354; P11712; Q8TCC7"
"DB00470" "P21554; P08684; P11712; P34972; P08183; Q9UNQ0; P33261; P23219; P04798; P11509"
"DB00471" "Q9Y271; P09917; P08684; P11712; P10632; O94956; P23219; P11509"
"DB00472" "P31645; P11712; P10635; Q14097; P05177; P08684; P33261; P08183; P20813; P20815; P02768; P02763; Q12809; P28335; P61024; Q15822; P32297; P30926"
"DB00474" "P14867; P33261"
"DB00475" "P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00476" "P31645; Q01959; P23975; P05177; P10635; P11712; P02768; P02763; P19652; P08183"
"DB00477" "P14416; P28223; P10635; P06276; P05177; P02768; P08183; P21728; P08908; P35348; P35368; P05181; P08684; P35367; Q12809; P21728; P21918; P35462; P21917; P21918; P28335; P28223; P41595; P28335; P35348; P35368; P25100; P08913; P18089; P18825; P11229; P20309; P17405; P0DP23; P02763; P19652; P50406; P34969; Q9H3N8; O95342"
"DB00479" "P0A7S3"
"DB00480" "P35354; O14788; P33151; Q96SW2; P08183"
"DB00481" "P03372; Q92731; Q06278; P10632; P20813; P11511; P08684; P50453; P04155; P22309; P02768; P02763; Q9Y6L6; Q9NPD5; P08183; Q9UNQ0; Q92887; O15438; O15439; Q9HAW8; Q9HAW9"
"DB00482" "P35354; O15530; P11712; P10635; O15439; P08684; P10632; P00918; P07451; Q2M3G0; Q9UNQ0; P08183; O95342"
"DB00483" "Q15822; P08172; P22303; P11229; P08912"
"DB00484" "P08913; P18089; P18825; Q06278"
"DB00485" "P46059; Q16348; A0A0E1R3H3; Q7CRA4; Q8DNB6; Q75Y35; Q8DR59; P0A3M6; P08684"
"DB00486" "P34972; P21554; P05181; P10632; P11712"
"DB00487" "P43700; P43702; P11388; P05177; Q06AK7"
"DB00489" "Q12809; P08588; P07550; P10635"
"DB00490" "P08908; P14416; P08684; P20815; P24462; P08183; P10635"
"DB00491" "O43451; P04746; P10253; Q14697; Q8TET4"
"DB00492" "P12821; P46059; Q16348"
"DB00493" "P42971; P46059; Q16348; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; Q7CRA4; Q8DNB6; Q8DR59; P0A3M6; P02768; B2ZTR6"
"DB00494" "P21964; O60656; P10635"
"DB00495" "P02768; P11509; P10632; P11712; P08684; Q72547; O15244; Q4U2R8; Q9Y694; Q8TCC7; Q9NSA0; O00337; Q14542; P08183; O15439; O15440; Q9UNQ0; O14746; P04183; P16662; P22309"
"DB00496" "P20309; P08684; P10635; P11229; P08172; P08173; P08912"
"DB00497" "P35372; P41145; P41143; P10635; P08684; P20815; ; P02768; P02763; P19652"
"DB00498" "Q9BQB6"
"DB00499" "P10275; P05177; P08684; P04798; Q16678; P33261; P20815; P35869; O75469"
"DB00500" "P23219; P35354; Q4U2R8; P48775; P05164; P02768"
"DB00501" "P25021; P05177; P10635; P33261; P08684; P20815; P24462; P08183; O15244; O15245; O75751; O76082; Q4U2R8; Q8TCC7; Q96FL8; Q9H015; Q9NSA0; Q9Y694; P15538; P10632; P11712; P05181; P31513; Q01740; O95342; Q86VL8"
"DB00502" "P14416; Q13224; P21728; P05177; P10635; P28223; P35462; P08684; P20815; P24462; P08183; P16152; O60656; P04798; P33261; P11712; Q99705; Q05940"
"DB00503" "Q72874; P10635; P11712; P33261; P20813; P10632; P08183; P33527; Q92887; P46721; Q9UNQ0; Q9Y6L6; P05177; P05181; O75469; P02768; P08684; P20815; P24462; Q9HB55; P22309; O94956; O95342"
"DB00504" "P35372"
"DB00509" "P10827; P10828; P07202; Q9Y6L6; Q9NYB5; Q96BD0; Q6ZQN7; Q01650"
"DB00512" "; P02768; P02763; P19652; P70174"
"DB00513" "P00747; P00750; P08519; Q06278"
"DB00514" "Q99720; Q5T1J1; Q15822; P31645; Q8TCU5; P10635; P08684; P20815; P24462; P11712; P20813; P33261; P10632; P05181; O00264; P32297; P43681; P30926; P17787; P36544; P35372; P41143; P41145; P04839; P13498; P14598; P19878; Q15080; P63000; P15153; P23975"
"DB00515" "; O15438; O15440; Q92887; O15244; O15431; O15432; O95255; P08183; P35670; Q04656; P35354; P05164; P47989; P9WJI5; P11712; P20813; P06276; Q02928; Q9UNQ0; P30711; P04731; P02795; P00441; P09211; P15559; P09488; P29372; P01023; P02768; P02787; O00244"
"DB00518" "Q71U36; P68371; P08684; P83223; P08183; P04798; P05177; F1L7U3; P33261"
"DB00519" "P12821; P46059; Q16348; P23141"
"DB00520" "O15245; P08183; Q4U2R8; Q9Y6L6; Q9NPD5; P08684; A2QLK4"
"DB00521" "P07550; P08588; P10635"
"DB00523" "P10276; P28702; P13631; P10826; P48443; P19793; P29373; P29762; P08183; P17936; Q15238; Q6V0L0"
"DB00524" "P55017"
"DB00526" "; O15244; O15431; O75751; Q9UNQ0; P04798; Q16678; P05181; P30711; P04731; P02795; P05164; P00441; P09211; P09488; P15559; Q92887; P35670; Q04656"
"DB00528" "Q06432; P08684; P20815; P24462; P10635"
"DB00529" "P04293; P08546; Q4U2R8; P53985"
"DB00530" "P00533; P08684; Q9UNQ0; P08183; O75469; P20815; P04798; P05177; Q16678; P10635; P10632; P22309; P02768; P02763; O94956"
"DB00531" "; P20813; P11712; P08684; P33261; P11509; P33260; P10632; P20815; O75469"
"DB00532" "Q14524; P20813; P11712; P33261; P05177; P10635; P10632; O75469; P05543"
"DB00533" "P35354; P15502; P08684; P05177; O15439; P23219; P10632; P11712"
"DB00535" "P05164; P08149; Q60FT7; O76082; P46059; Q16348; Q4U2R8; Q8TCC7"
"DB00537" "P43700; P43702; P11388; P05177; P08684; P20815; P24462; P08183; Q12809; P0AES4; P0C1U9; Q59192; P05653; C3T8E2; B4YQT9; P20831; Q96FL8; Q86VL8; P02768"
"DB00539" "P03372; P08684; P08183; P04798; P04278"
"DB00540" "P31645; P23975; P05177; P10635; P02768; P02763; P35367; P11229; P08172; P20309; P08173; P08912; P28223; P35348; P08908; P08684; P20815; P25100; P33261; P23219; P05181; P28335; P50406; P35368; P08913; P18089; P18825; P08588; P07550; P13945; P14416; O00264; Q99720; P08909"
"DB00541" "P07437; P08684; P20815; P24462; P08183; O15438; O75751; P33527; Q5T3U5; Q92887; O95342; Q9UNQ0; P68366; Q15311; Q9Y6L6; Q9NPD5"
"DB00542" "P12821; P42898; P46059; Q16348"
"DB00543" "P31645; P23975; P08913; P14416; P35348; P21728; P11229; P14867; P02763; P10635; P28223; P28335; P50406; P34969; P35462; P21917; P35367; P35348; P35368; P25100; P11229; P08172; P20309; P08173; P08912; P41595; P46098; P08908; P28222; P08913; P18089; P18825; Q9H3N8; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q01959"
"DB00544" "P04818; P05177; P19971; P02768; P11712; Q12882; Q16831; O95045; ; P11509; P10632; P42898; P11172; Q06203; Q9Y694; Q99808; Q9UNQ0; O15438; O15439; O15440; P05543"
"DB00545" "P22303; P08684; P06276; P02768"
"DB00547" "P04150"
"DB00548" "P31213; P00582; P66010; P14679; P51857"
"DB00549" "Q9Y271; P11712; P10632; P23219; P08684; P05177; P33261; P05181; Q9UNQ0"
"DB00550" "P07202; P05164; P09172; P04798"
"DB00552" "P00813"
"DB00553" "; P11509; P05177; P04798; Q16696"
"DB00554" "P23219; P35354; P02768; P11712; Q4U2R8; Q8TCC7; Q9NSA0; P10632; O94956"
"DB00555" "Q99250; P22310; P08183; P35503; P00374; P46098; Q15878; P30542; P29274; P35348; P08913; P08588; P21728; P21918; P14416; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928; P35367; P41145; P11229; P08172; P20309; P08173; P08912; P28223; P22309; O15244"
"DB00557" "P35367; P10635"
"DB00559" "P24530; P25101; P08684; P11712; O95342"
"DB00560" "P0A7X3; ; P0AG59; P0A7S9; P0A7U3; P0A7S3"
"DB00561" "O14649; Q9NPC2"
"DB00563" "P00374; Q06278; P42898; P02768; O15438; O15439; P33527; Q4U2R8; Q5T3U5; Q8TCC7; Q92887; P08183; P46721; P53985; Q96J66; Q9NPD5; Q9NSA0; Q9NYB5; Q9UIG8; Q9UNQ0; Q9Y694; Q9Y6L6; P52209; Q96NT5; Q05932; Q92820; P04818; P31939; Q6ZQN7; P41440; P15328; P08684"
"DB00564" "Q14524; P10632; P20813; P08684; P05177; P33261; P11712; P08183; P20815; P24462; P16662; Q15311; Q92887; P43681; P17787; O75469; P22309; P05543"
"DB00565" "Q15822"
"DB00567" "P02768; O76082; P46059; Q16348; Q4U2R8; Q8TCC7; Q96FL8; Q75Y35; Q8DNB6; Q7CRA4; Q8DR59; P0A3M6"
"DB00568" "P35367; P14416; O95180; P10635; P20813; P11712; P04798; P05177; P11509; Q13936; Q13698; O60840; Q01668; O43497; Q9P0X4; P21728; P21918; P11229; P08172; P20309; P08173; P08912; P08684"
"DB00569" "P01008; P00742"
"DB00570" "P07437; P05412; P08684; P08183; P33527; Q92887; O95255; O95342; Q71U36; Q9UJT1; Q9UJT0; P23258; P10635; Q9Y6L6"
"DB00571" "P08588; P07550; P13945; P08908; P28222; P05177; P10635; P02763; P33261; P08684; P20815; P24462; O15244; P08183; P04798; P21397"
"DB00572" "P08172; P11229; P08173; P08912; P20309; P23415; P43681; P17787; O95342"
"DB00573" "P23219; P35354; P02768; Q07869; P37231"
"DB00574" "P28335; P41595; P10635; P31645; P28223"
"DB00575" "P08913; P10635; P18089; P18825; O75751; O76082; Q9H015; P08183; P05177; P08684; P04798; P20815; P35348; P35368; P25100"
"DB00577" "Q9QNF7; P04293; P46059; Q16348; Q8TCC7; Q4U2R8; Q9UN76; Q12908; Q16774; ; P06478"
"DB00578" "Q4U2R8; P0AEB2; P24228; P08506; P02918; P02919; P0AD65; P0AD68; P47712"
"DB00579" "P23975; Q01959; P31645; Q05940"
"DB00580" "P35354; P11712; P08684; O60656; P00918; P07451"
"DB00581" "P06864"
"DB00582" "P33261; P08684; P11712; Q01740; P31513; P20815; P24462; P23219; P10613; P20813"
"DB00583" "P50416; Q9H015; O76082; P43155; Q8N8R3; O43772; Q9UKG9; P23786; Q9Y6L6; Q86VW1; Q8TCC7; P47989; P23141; P05164"
"DB00584" "P12821; P08684; P08183; P46059; Q4U2R8; Q8TCC7; Q9Y694; P46721; P02768"
"DB00585" "P25021; P08183; P06276"
"DB00586" "P23219; P35354; P02766; P11712; P33261; P05177; P10632; P22309; P02768; O15439; P08183; P33527; Q4U2R8; Q8TCC7; Q9NYB5; Q9NSA0; P16662; P08684; P04798; P20813; P33260; P05181; P09917; P35499; P78348; O43526; O43525; P14555; Q9Y6L6; O95342"
"DB00588" "P08185; P47712; P04150; P08684; P06401; P08235; P20815; P24462; P10632; P08183; Q9Y6L6"
"DB00589" "P21728; P08908; P14416; P08913; P18089; P18825; P35462; P28221; P41595; P28223; P21917; P28335; P21918; P28222; P10635; P08684; P34969"
"DB00590" "P35348; P35368; P25100; Q12809; Q9H252; Q9NS40; P02763; P08183; P33261; P10635; O15245; P08684"
"DB00591" "P08185; P04150; P08684; P04083; P07355; P12429; P09525; P08758"
"DB00592" "P28472; P10635"
"DB00593" "O43497; P08684; P05181; Q9HB55"
"DB00594" "P51168; P78348; P19801; P37088; P51170; P19634; Q16515; P51172; P00749; O15244; Q9H015; Q9TRC7"
"DB00595" "P0A7V8; P0A7X3; ; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694"
"DB00598" "P35348; P35368; P25100; P08588; P07550; P10635; P33261"
"DB00599" "P14867; O00519; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P05181; P08684; P20309; P33261"
"DB00600" "P14679"
"DB00601" "; P21397; P27338"
"DB00602" "P28472; O75311; P08183; P33527; Q92887; Q9UNQ0; P08684; Q9Y6L6; Q9NPD5"
"DB00603" "P06401; P03372; P08684; P10632; P26439; P11712"
"DB00604" "Q13639; P46098; Q12809; P28223; P08684; P20815; P24462; P11509; P20813; P33261; P10632; P11712; P10635"
"DB00605" "P35354; P15121; P23219; P27361; Q03181; Q9Y5Y4; P02768; Q4U2R8; P04798; O60218"
"DB00606" "P54710; P00915; P00918; P22748; Q4U2R8; Q6FHJ7"
"DB00607" "P05177; P08684; Q4U2R8; Q7CRA4; P0A3M6; Q8DNB6; Q75Y35; Q8DR59; P02768"
"DB00608" "P01375; Q9NR96; P09210; P10635; P08684; P04798; P10632; P20815; ; Q8MU52; P08183"
"DB00609" "P9WIE5; P9WGR1"
"DB00610" "P35348"
"DB00611" "P41145; P35372; P41143"
"DB00612" "P08588; P07550; P10635; P08684"
"DB00613" "P50135; P10632; P10635; ; P04798; Q16678; P11712; P08183"
"DB00615" "P0A7Z4; P07900; P14625; P08684; P0A8V2; P0A8T7; P33261; P20813; P10632; P11712; P10635; P08183"
"DB00618" "P0A7V8; P0A7X3"
"DB00619" "P09619; P00519; P10721; O43519; P04629; P07333; P16234; Q08345; P08684; A9UF02; P05177; P10635; P11712; P33261; P20815; P24462; O15245; P08183; O15244; Q9UNQ0; Q99758; P23219; P02768; P02763; O95342; P10632"
"DB00620" "P08185; P04150; P08684; P35354; P06276"
"DB00621" "P10275; P11712"
"DB00622" "Q13936; P08684; P33261; P10632; P10635; Q01064; P54750; P35348; P25100; P35368; P11229; P08172; P20309; P08173; P08912; P54289; Q08289; Q01668; P0DP23; P08183; P20813; P05181; P20815; Q9Y6L6; O95342"
"DB00623" "P14416; P0DP23; P21728; P10635; P08183; P05181; P10275; P28223; P28335"
"DB00624" "P10275; P08684; P11511; P21397; P05108; P02768; P04278; P20815; P24462; P46721; Q8TCC7; Q9Y694; P08183; Q14973; O75751; Q9H015; Q9UNQ0; P04798; Q16678; Q16696; P20813; P33261; P10632; P11712; Q9HB55; P03372; P08235"
"DB00625" "P20813; P08684; P33261; P11712; P05177; P10635; Q72547; P10632; P02768; P20815; P24462; P22309; O95342; O15245"
"DB00626" "P01023; P14735;"
"DB00627" "Q8TDS4; P40261; Q15274; P49019; O76082; O94956; P53985; P10635; Q8N695; O15427; P05543"
"DB00628" "P30536; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00629" "P08913; P05177; P18089"
"DB00630" "P14324; P29074; Q13332; P23469; P38606;"
"DB00631" "P09884; P23921; P27707; ; Q9UNQ0"
"DB00633" "P08913; P05181; P05177; P04798; P10635"
"DB00635" "P04150; P08684; P08183; P46721; P33261; P02768; P28845"
"DB00636" "Q07869; P08684; P09210; P05181; P04798; P11509; P20813; Q02928; P05543"
"DB00637" "P35367; Q12809; P08684; P20815; P24462; P08183; P10635; P51589; O95259; P10636; O95342"
"DB00638" "Q9F0I5"
"DB00640" "P0DMS8; P00813; P55263; P30542; P29274; P29275; Q9HAS3"
"DB00641" "P04035; P05107; P08684; P10632; P11712; P33261; P20815; P24462; P08183; P46721; Q9Y6L6; P20813; P10635; P22309; P35503; P16662; Q92887; P20701; O95342"
"DB00642" "P04818; P00374; P22102; P27707; P31939; Q99808; Q8TCC7"
"DB00643" "Q71U36; P68371; P08684; P04798"
"DB00644" "P30968; Q96P88"
"DB00647" "P35372; P41143; P41145; P10635; P08684; P10632; P23141"
"DB00648" "P15538; P10109; P04278; P08185; P08684; P03372; P06401; P10275; P05543"
"DB00649" "Q4U2R8; Q72547; O00337; P02768"
"DB00651" "Q07343; P27815; Q08493; Q08499; Q13946; Q9NP56; P30542; P29274"
"DB00652" "P35372; P41145; Q99720"
"DB00653" "Q06432; P54289; Q13936; Q02641; Q08289; Q13698"
"DB00654" "P43088; O94956; O15245"
"DB00655" "P03372; P05177; P04798; P02768; O94956; P08183; P46721; Q9UNQ0; Q9Y6L6; P08684; Q16678; P20813; P11712; P05181; P20815; Q02928; Q92731; P10275; P11511; P04278; Q8TCC7"
"DB00656" "P28223; P31645; P35348; P08913; P35367; P08908; P10635; P08684; P28335; P02763; P20815; P24462; P08183"
"DB00657" "Q15822; P36544; P43681; P17787"
"DB00659" "P41594; Q7Z2H8; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391"
"DB00661" "Q14524; Q14654; O00305; O43497; O60840; P54284; Q01668; Q02641; Q08289; Q12809; Q13698; Q13936; Q9P0X4; P05177; P20815; Q00975; O00555; P31645; P08684; P24462; P08183; O15245; O15438; O15439; O76082; P33527; P46721; Q5T3U5; Q92887; Q9H015; Q9UNQ0; Q9Y6L6; P10632; P11712; P33260; P20813; P33261; P10635; P35348; P35368; P25100; O95342"
"DB00665" "P10275; P33261; P16435; P10632"
"DB00668" "P35348; P08588; P07550; O15244; O15245; P11712; P08684; P35368; P25100; P08913; P18089; P01375; P21964; P21397; P27338"
"DB00669" "P28221; P28222; P30939; P21397; P08908; P46721; P08183; Q9UNQ0; Q9Y6L6"
"DB00670" "P11229"
"DB00671" "P44469; O76082; P46059; Q16348"
"DB00672" "Q09428; P46059; Q16348; Q4U2R8; P11712; P33261; P23219"
"DB00673" "P25103; P08684; P11712; P20815; P24462; P33261"
"DB00674" "P22303; P08684; P10635; P02708; P11230; Q07001; P07510; Q04844; Q15822; P32297; P43681; P30532; Q15825; P36544; Q9UGM1; Q9GZZ6; P17787; Q05901; P30926; P06276"
"DB00675" "P03372; Q92731; P11712; P08684; P10635; P10632; P20813; P23141; P20815; P04798; Q16678; P33261; Q01740; P31513; P24462; P08183; Q9UNQ0; P11511; P11509; P05181; Q9HAW8; P50225; Q92887; Q15125; P17252; P05771; Q05655; Q02156; P05129; P41743; Q04759; Q05513; P10275; Q12809; O75469; P62508; P04278; O95342; P05543"
"DB00678" "P30556; P08684; P11712; P10632; P08183; Q4U2R8; P22309; P35503; Q9HAW8; P16662; O75795; P33261; P02768; Q96S37; Q9NRM0; O95342"
"DB00679" "P35348; P14416; P28223; P21728; P33261; P10635; P35368; Q12809; P10632; P05181"
"DB00680" "Q14524"
"DB00681" "; P08684"
"DB00682" "Q9BQB6; P10632; P05177; P11712; P02763; P02768; P33261; P08684; P33260; O75469"
"DB00683" "P14867; P31644; P34903; P47869; P48169; Q16445; P08684; P20815; P22310"
"DB00684" "P0A7S3; ; P9WQG9"
"DB00685" "P43700; P43702; P11388; P05177"
"DB00686" "P05230; P08620; P09038"
"DB00687" "P08235; P04150; P10275; P08684"
"DB00688" "P12268; P20839; P22309; Q9HAW7; P19224; O60656; P16662; Q9HAW9; Q9HAW8; P23141; O00748; P02768; P08684; P20815; P10632; Q9Y6L6; Q9NPD5; Q92887; Q9UNQ0; P08183"
"DB00690" "P14867; P18505; P28472; P31644; P34903; P47869; P47870; P48169; Q16445; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P28476; Q9UN88; P24046; P08684; A8MPY1; P08183; P05181; P11509; O15244"
"DB00691" "P12821; P46059; Q16348; Q9BYF1"
"DB00692" "P08913; P35348; P35368; P25100"
"DB00694" "; P47989; P20815; P16435; P08183; P33527; Q92887; O95255; O95342; Q5T3U5; Q9UNQ0; P11388; Q02880; P04798; Q16678; P08684"
"DB00695" "Q13621; P02768; Q4U2R8; O76082; Q8TCC7; Q92887; Q92959; Q9NSA0; P52209; P00918; P22309; P05543"
"DB00696" "P35348; P28221; P28222; P28223; P08913; P14416; P18089; P23975; P08684; P35368; P25100; P08183; P21728; P21918; P08908; P30939; P28335; P41595"
"DB00697" "P08913; P18089; P18825; P05177; Q9Y2I1; P35348; P35368; P25100"
"DB00698" "P0A7R5; P17117; P52647; Q9UNQ0; P16435; O95342; P05543"
"DB00699" "P35348; P10635"
"DB00701" "Q72874; P08684; P08183; P33527; P20813; P33261; P10632; P11712; P10635; P20815; Q9Y6L6"
"DB00703" "P00915; Q4U2R8; P33261; P10635; P05181; P08684; P22748; P00918; P43166; P07451"
"DB00704" "P35372; P41145; P41143; Q5T1J1; P22309"
"DB00705" "P08684; P11712; P10635; P20815; P24462; P33261; P10632; Q72547"
"DB00706" "P35348; P25100; P35368; P02763; P10635; P08684"
"DB00707" "P01130; P12314"
"DB00708" "P35372; P41143; P41145; P08684"
"DB00709" "; Q05486; P33527; Q4U2R8; Q9UNQ0; Q72547; O15245; O15244; O75751; P27707; P30085; P00558; P15531; P22392; P49585; Q99447; P08183; O15439; O15438; Q92887; Q8TCD5; P02768"
"DB00711" "P09917; P23219; P06276"
"DB00712" "P35354; P23219; P11712; P02768; O15439; Q4U2R8; P16662; P22309; P35503; O60656; P06133"
"DB00713" "Q8XJ01; P46059; Q16348; Q75Y35; Q8DNB6; Q8DR59; P0A3M6; Q7CRA4; D6R448"
"DB00714" "P14416; P21728; P21917; P35462; P21918; Q9NYX4; P18825; P18089; P28335; P08908; P28223; P41595; P08913; P28221; P28222"
"DB00715" "P31645; P23975; P28223; P10635; P11229; P08172; P20309; P08173; P08912; P11712; P08183; P20813; P10632; P05177; P08684"
"DB00716" "Q9Y271; Q9NS75; Q13258; P21462; P07900"
"DB00717" "P06401; P08684; P08183; P33261; P20815; P24462; P02768; P04278"
"DB00718" "P24024; Q4U2R8; O15439; O15440; O75751; P54819; P27144; P15531; P22392"
"DB00719" "P35367; P08684"
"DB00720" "P05141; P12235; P12236; ; P35354"
"DB00721" "Q9Y5Y9; Q8TCU5; P46098; Q01959; Q15822; P06276; ; Q12791; Q16558; Q9Y691; Q9NPA1; Q86W47; O15554; Q92952; Q9H2S1; Q9UGI6; P21397; P27338"
"DB00722" "P12821"
"DB00723" "P35348; P35368; P25100"
"DB00724" "Q9NYK1; Q9NR97; P08684"
"DB00726" "P31645; P23975; P10635; Q01959; P28223; P08908; P35348; P35368; P14416; P18089; P35367; P33261; P08684; P08183; P11712; P28335; P46098; P28221; P08913; P21728; P21918; P08588; P07550; P13945; P11229; P08172; P20309; P08173; P08912; P08909"
"DB00727" "P16066; P05091"
"DB00728" "Q15822; P08172; P46098; O15245; P46721"
"DB00731" "Q09428; P08684; P11712; P37231; P20815; P24462; P46059; Q16348; Q4U2R8; P53985; P23219; O60656; P10635; O15439; P02768; P02763"
"DB00732" "Q15822"
"DB00733" "P22303; P06276"
